,Date,User,Tweet,clean_tweet,stem_rmSW,lx_sentiment,tf_sentiment2
0,2023-06-08 02:07:03+00:00,KakakNur4,Pemilu sesuai jadwal yaa sobat,pemilu sesuai jadwal yaa sobat,milu sesuai jadwal yaa sobat,negatif,neutral
1,2023-06-08 02:07:00+00:00,IcukMantap,@KompasTV Sebetulnya ini betul² pembodohan kenapa muncul setiap mau pemilu, sebetulnya ini betul pembodohan kenapa muncul setiap mau pemilu,bodoh muncul milu,negatif,negative
2,2023-06-08 02:05:58+00:00,linglin53187986,"@CNNIndonesia Di depan investor brani guyonan soal pilpres pk jokowi, mau pemilu sibuk cawe cawe partai Prabowo Ganjar, giliran d demo mahasiswa pk jokowi kabur dr istana, kg maku ke mantan presiden SBY apa pak", di depan investor brani guyonan soal pilpres pk jokowi mau pemilu sibuk cawe cawe partai prabowo ganjar giliran d demo mahasiswa pk jokowi kabur dr istana kg maku ke mantan presiden sby apa pak,investor brani guyon pilpres pk jokowi milu sibuk cawe cawe partai prabowo ganjar gilir d demo mahasiswa pk jokowi kabur dr istana kg maku mantan presiden sby,negatif,negative
3,2023-06-08 02:03:56+00:00,johnnyjshh,@Ieeknowp Iye kan bentar lagi tahun pemilu 😅, iye kan bentar lagi tahun pemilu ,iye bentar milu,neutral,negative
4,2023-06-08 02:03:27+00:00,kasito17,"@cagubnyinyir2 @RomeoWalker19 @HeryIdris5 @PaberSitorus1 @BJ____Robin @H4l1mun_D1n61n @EDHARIS3 @dir1ku @abah_saka @Chendra_Kaunang Disaat parpol lain gaspol utk memenangkan pemilu,eh partai baper msh berandai2",          disaat parpol lain gaspol utk memenangkan pemilueh partai baper msh berandai2,saat parpol gaspol utk menang pemilueh partai baper msh beranda 2,negatif,negative
5,2023-06-08 02:02:28+00:00,Aryprasetyo85,"@Giring_Ganesha selaku Ketua Umum Dewan Pimpinan Pusat Partai Solidaritas Indonesia menyebut bahwa partainya bisa menjadi kuda hitam dalam Pemilu 2024 serta memiliki target untuk lolos ke DPR RI. Sebagai upaya untuk menunjang langkah tersebut, Giring pun menyebut bahwa mesin politik PSI yang berada di daerah dan pusat jauh lebih siap daripada 2019 lalu. 

“Kami siap menjadi 'kuda hitam' dalam Pemilu 2024. Mesin politik PSI di pusat dan daerah jauh lebih siap daripada 2019. PSI juga telah mendapat energi baru dengan bergabungnya banyak tokoh keren. Yang terbaru adalah Bro Helmy Yahya dan Inang Irma Hutabarat,"" ujar Giring"," selaku ketua umum dewan pimpinan pusat partai solidaritas indonesia menyebut bahwa partainya bisa menjadi kuda hitam dalam pemilu 2024 serta memiliki target untuk lolos ke dpr ri sebagai upaya untuk menunjang langkah tersebut giring pun menyebut bahwa mesin politik psi yang berada di daerah dan pusat jauh lebih siap daripada 2019 lalu 

kami siap menjadi kuda hitam dalam pemilu 2024 mesin politik psi di pusat dan daerah jauh lebih siap daripada 2019 psi juga telah mendapat energi baru dengan bergabungnya banyak tokoh keren yang terbaru adalah bro helmy yahya dan inang irma hutabarat ujar giring",ketua dewan pimpin pusat partai solidaritas indonesia sebut partai kuda hitam milu 2024 milik target lolos dpr ri upaya tunjang langkah giring sebut mesin politik psi daerah pusat 2019 kuda hitam milu 2024 mesin politik psi pusat daerah 2019 psi energi gabung tokoh keren baru bro helmy yahya inang irma hutabarat giring,negatif,positive
6,2023-06-08 02:01:52+00:00,binmasppu,"Laksanakan sambang, Sat Binmas kunjungi KPUD pererat silaturahmi dan pembinaan jelang pemilu 2024. #iknusantara #polresppu #poldakaltim #polripresisi #akbphendrikekabahalwan #binmas #kamtibmas #indonesiaman https://t.co/CkAwGrNJZc",laksanakan sambang sat binmas kunjungi kpud pererat silaturahmi dan pembinaan jelang pemilu 2024 ,laksana sambang sat binmas kunjung kpud erat silaturahmi bina jelang milu 2024,positif,neutral
7,2023-06-08 01:59:44+00:00,DKPP_RI,"Ad Hoc Harus Satu Frekuensi Pahami Aturan Pemilu 

#DKPPRI
#KenaliDKPP
#Pemilu2024

https://t.co/UaANZvNA14","ad hoc harus satu frekuensi pahami aturan pemilu 

",ad hoc frekuensi paham atur milu,negatif,neutral
8,2023-06-08 01:58:57+00:00,Chanelshaka7,"@BurhanMuhtadi @LSI_Lembaga Ini survai apa..?? 
Survai Pilpres..?? 

Emang masih percaya Pemilu yg Jurdil..?? 

Pemilu itu buat ku bukan pesta demokrasi... Tapi SANDIWARA DEMOKRASI..","  ini survai apa 
survai pilpres 

emang masih percaya pemilu yg jurdil 

pemilu itu buat ku bukan pesta demokrasi tapi sandiwara demokrasi",survai survai pilpres emang percaya milu yg jurdil milu ku pesta demokrasi sandiwara demokrasi,positif,negative
9,2023-06-08 01:57:21+00:00,BonnieOhello,"@JoeWongJaVa @dennyindrayana Pemilu 1 hari ,sakit hati seumur hidup,wkwkwkw pecundang pemilu .. 🤡🤣",  pemilu 1 hari sakit hati seumur hidupwkwkwkw pecundang pemilu  ,milu 1 sakit hati umur hidupwkwkwkw cundang milu,negatif,negative
